date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,2108,1113,299,3520
01:00AM,2299,1075,272,3646
02:00AM,2354,1055,237,3646
03:00AM,1504,724,126,2354
04:00AM,1250,688,148,2086
05:00AM,1229,1006,236,2471
06:00AM,1264,1293,459,3016
07:00AM,1195,1852,583,3630
08:00AM,989,1442,456,2887
09:00AM,955,1688,461,3104
10:00AM,1040,1756,605,3401
11:00AM,1127,2112,767,4006
12:00PM,1265,2209,1016,4490
01:00PM,1365,2584,772,4721
02:00PM,1564,3004,959,5527
03:00PM,1723,3104,1024,5851
04:00PM,1765,3154,1006,5925
05:00PM,2077,2967,1157,6201
06:00PM,2401,2727,890,6018
07:00PM,2454,2128,645,5227
08:00PM,2317,2244,568,5129
09:00PM,2532,2035,435,5002
10:00PM,2296,1682,508,4486
11:00PM,2135,1469,318,3922
