date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,1645,795,156,2596
01:00AM,1812,746,142,2700
02:00AM,2003,865,301,3169
03:00AM,1377,537,149,2063
04:00AM,934,480,97,1511
05:00AM,1101,637,131,1869
06:00AM,1098,917,284,2299
07:00AM,1036,1335,319,2690
08:00AM,855,988,276,2119
09:00AM,775,1168,290,2233
10:00AM,793,1286,465,2544
11:00AM,870,1470,488,2828
12:00PM,990,1624,564,3178
01:00PM,1165,1711,625,3501
02:00PM,1156,1953,725,3834
03:00PM,1344,2178,828,4350
04:00PM,1404,2162,808,4374
05:00PM,1714,2042,652,4408
06:00PM,1951,2160,494,4605
07:00PM,1977,1594,466,4037
08:00PM,1960,1367,442,3769
09:00PM,1943,1401,294,3638
10:00PM,1794,1151,312,3257
11:00PM,1693,1042,243,2978
