date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,1689,750,243,2682
01:00AM,1563,664,197,2424
02:00AM,1721,804,167,2692
03:00AM,1219,570,122,1911
04:00AM,987,495,128,1610
05:00AM,965,734,200,1899
06:00AM,1079,1029,378,2486
07:00AM,1028,1173,293,2494
08:00AM,855,935,342,2132
09:00AM,719,1062,306,2087
10:00AM,791,1299,444,2534
11:00AM,870,1446,664,2980
12:00PM,989,1458,548,2995
01:00PM,1063,1781,605,3449
02:00PM,1135,1959,704,3798
03:00PM,1394,2106,760,4260
04:00PM,1418,1972,876,4266
05:00PM,1599,2068,726,4393
06:00PM,1886,1984,483,4353
07:00PM,2028,1552,444,4024
08:00PM,2099,1455,449,4003
09:00PM,2143,1331,471,3945
10:00PM,2042,1094,409,3545
11:00PM,1840,882,342,3064
